Task,Filename,Type,NIQE,BRISQUE,Entropy,LOE,Sharpness,Gradient
LowLight_ZeroDCE,img_60.PNG,low_light,,,1.235121250152588,1111.9642,,
LowLight_ZeroDCE,img_61.PNG,low_light,,,3.8272488117218018,545.4454,,
LowLight_ZeroDCE,img_62.PNG,low_light,,,4.700445652008057,420.062,,
LowLight_ZeroDCE,img_63.PNG,low_light,,,5.017771244049072,681.9181,,
LowLight_ZeroDCE,img_64.PNG,low_light,,,3.9966516494750977,386.43,,
LowLight_ZeroDCE,img_65.PNG,low_light,,,3.3164806365966797,280.4041,,
LowLight_ZeroDCE,img_66.PNG,low_light,,,2.7427492141723633,373.5088,,
LowLight_ZeroDCE,img_67.PNG,low_light,,,2.6109232902526855,931.1359,,
LowLight_ZeroDCE,img_68.PNG,low_light,,,4.542499542236328,509.2894,,
LowLight_ZeroDCE,img_69.PNG,low_light,,,4.156846523284912,435.89,,
LowLight_ZeroDCE,img_70.PNG,low_light,,,4.5650529861450195,248.1596,,
LowLight_ZeroDCE,img_71.PNG,low_light,,,2.2710745334625244,347.4836,,
LowLight_ZeroDCE,img_72.PNG,low_light,,,2.094985246658325,353.1682,,
LowLight_ZeroDCE,img_73.PNG,low_light,,,1.4927818775177002,474.1751,,
LowLight_ZeroDCE,img_74.PNG,low_light,,,0.988418459892273,264.0377,,
LowLight_ZeroDCE,img_75.PNG,low_light,,,1.133078694343567,204.3235,,
LowLight_ZeroDCE,img_76.PNG,low_light,,,1.892357587814331,349.6262,,
LowLight_ZeroDCE,img_77.PNG,low_light,,,3.6941020488739014,462.2112,,
LowLight_ZeroDCE,img_78.PNG,low_light,,,3.103459358215332,459.6952,,
LowLight_ZeroDCE,img_79.PNG,low_light,,,3.2308712005615234,414.4336,,
LowLight_ZeroDCE,img_80.PNG,low_light,,,2.1178245544433594,175.975,,
LowLight_ZeroDCE,img_81.PNG,low_light,,,2.2528603076934814,206.6836,,
LowLight_ZeroDCE,img_82.PNG,low_light,,,2.632704257965088,166.6724,,
LowLight_ZeroDCE,img_83.PNG,low_light,,,2.4584481716156006,160.1754,,
LowLight_ZeroDCE,img_84.PNG,low_light,,,2.3640201091766357,253.2908,,
LowLight_ZeroDCE,img_85.PNG,low_light,,,3.305515766143799,240.5445,,
LowLight_ZeroDCE,img_86.PNG,low_light,,,3.659541606903076,265.6198,,
LowLight_ZeroDCE,img_87.PNG,low_light,,,3.7142393589019775,290.4838,,
LowLight_ZeroDCE,img_88.PNG,low_light,,,2.8015551567077637,239.7961,,
LowLight_ZeroDCE,img_89.PNG,low_light,,,2.0570778846740723,188.6234,,
LowLight_ZeroDCE,img_90.PNG,low_light,,,1.843056082725525,206.6732,,
LowLight_ZeroDCE,img_91.PNG,low_light,,,2.2284326553344727,202.9436,,
LowLight_ZeroDCE,img_92.PNG,low_light,,,2.0494236946105957,226.3235,,
LowLight_ZeroDCE,img_93.PNG,low_light,,,3.2915310859680176,276.0591,,
LowLight_ZeroDCE,img_94.PNG,low_light,,,3.111997604370117,339.4525,,
LowLight_ZeroDCE,img_95.PNG,low_light,,,3.126898765563965,239.2846,,
LowLight_ZeroDCE,img_96.PNG,low_light,,,3.2729880809783936,274.6924,,
LowLight_ZeroDCE,img_97.PNG,low_light,,,3.017425537109375,244.0732,,
LowLight_ZeroDCE,img_98.PNG,low_light,,,2.9587090015411377,212.787,,
LowLight_ZeroDCE,img_99.PNG,low_light,,,3.1717493534088135,243.5461,,
LowLight_ZeroDCE,img_100.PNG,low_light,,,2.693060874938965,160.8971,,
LowLight_ZeroDCE,img_101.PNG,low_light,,,3.2021541595458984,260.8438,,
LowLight_ZeroDCE,img_102.PNG,low_light,,,3.13118052482605,234.5384,,
